Serial No.,College Name,Department,Location
191,Institute Technology & Management - [ITM],No data found,No data found
192,Sandip University,No data found,No data found
193,Malla Reddy Engineering College - [MREC],No data found,No data found
194,Amity University,No data found,No data found
195,Shobhit University,"Shobhit University, School of Business Studies","Meerut, Uttar Pradesh"
195,Shobhit University,"Shobhit University, School of Law and Constitutional Studies","Meerut, Uttar Pradesh"
195,Shobhit University,"Shobhit University, School of Biological Engineering and Sciences","Meerut, Uttar Pradesh"
196,Sri Sri University - [SSU],No data found,No data found
197,Garden City University - [GCU],No data found,No data found
198,Madras Institute of Technology- [MIT],No data found,No data found
199,Malla Reddy College of Engineering - [MRCE],No data found,No data found
200,Indus University,No data found,No data found
201,Academy of Maritime Education and Training University - [AMET],AMET Business School,"Chennai, Tamil Nadu"
202,IFTM University,"School of Pharmaceutical Sciences, IFTM University - [SPS]","Moradabad, Uttar Pradesh"
202,IFTM University,"School of Engineering And Technology, IFTM University - [SET]","Moradabad, Uttar Pradesh"
202,IFTM University,"School of Science, IFTM University - [SOS]","Moradabad, Uttar Pradesh"
203,Marwadi University - [MU],No data found,No data found
204,Glocal University,Glocal School of Science & Technology - [GSOT],"Saharanpur, Uttar Pradesh"
204,Glocal University,Glocal law School - [GLS],"Saharanpur, Uttar Pradesh"
204,Glocal University,Glocal School of Business and Commerce - [GSBC],"Saharanpur, Uttar Pradesh"
204,Glocal University,"Glocal Medical College, Super Specialty Hospital & Research Center","Saharanpur, Uttar Pradesh"
205,Indraprastha Institute of Technology and Management - [IITM],No data found,No data found
206,SAGE University,No data found,No data found
207,YBN University - [YBN],No data found,No data found
208,RIMT University,"RIMT University, School of Education - [SOE]","Gobindgarh, Punjab"
208,RIMT University,"RIMT University, School of Legal Studies - [SLS]","Gobindgarh, Punjab"
208,RIMT University,"RIMT University, School of Health Sciences - [SPMS]","Gobindgarh, Punjab"
208,RIMT University,"RIMT University, School of Computer Application - [SCA]","Gobindgarh, Punjab"
208,RIMT University,"RIMT University, School of Agricultural Sciences & Technology - [SAST]","Gobindgarh, Punjab"
208,RIMT University,"RIMT University, School of Basic & Applied Sciences - [SBAS]","Gobindgarh, Punjab"
208,RIMT University,"RIMT University, School of Hotel Management and Catering Technology - [SHMCT]","Gobindgarh, Punjab"
208,RIMT University,"RIMT University, School of Management Studies & Commerce","Gobindgarh, Punjab"
208,RIMT University,"RIMT University, School of Engineering - [SOE]","Gobindgarh, Punjab"
209,AMC Engineering College - [AMC],No data found,No data found
210,Aditya Engineering College - [AEC],No data found,No data found
211,Maharaja Agrasen Institute of Technology - [MAIT],No data found,No data found
212,Maharaja Surajmal Institute of Technology - [MSIT],No data found,No data found
213,Panimalar Engineering College,No data found,No data found
214,MATS University,No data found,No data found
215,Suresh Gyan Vihar University - [SGVU],"Suresh Gyan Vihar University, International School of Business Management - [ISBM]","Jaipur, Rajasthan"
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],No data found,No data found
217,Invertis University,No data found,No data found
218,Acropolis Institute of Technology & Research - [AITR],No data found,No data found
219,Quantum University,No data found,No data found
220,SAGE University,Sagar Institute of Research & Technology - [SIRT],"Indore, Madhya Pradesh"
221,Model Institute of Engineering and Technology - [MIET],No data found,No data found
222,RVR and JC College of Engineering,No data found,No data found
223,Rabindranath Tagore University - [RNTU],No data found,No data found
224,Sister Nivedita University - [SNU],No data found,No data found
225,CMJ University,No data found,No data found
226,Mangalayatan University - [MU],"Manglayatan University, Department of Visual and Performing Arts - [DVPA]","Aligarh, Uttar Pradesh"
226,Mangalayatan University - [MU],"Institute of Legal Studies & Research, Mangalayatan University - [ILSR]","Aligarh, Uttar Pradesh"
226,Mangalayatan University - [MU],"Mangalayatan University, Institute of Engineering and Technology - [IET]","Aligarh, Uttar Pradesh"
226,Mangalayatan University - [MU],"Mangalayatan University, Institute of Business Management - [IBM]","Aligarh, Uttar Pradesh"
226,Mangalayatan University - [MU],"Mangalayatan University, Institute of Applied Sciences - [IAS]","Aligarh, Uttar Pradesh"
227,Navrachana University - [NUV],No data found,No data found
228,Amity University,No data found,No data found
229,GLS University,"Faculty of Commerce ,GLS University","Ahmedabad, Gujarat"
229,GLS University,"GLS University, GLS Institute of Design - [GLSID]","Ahmedabad, Gujarat"
230,Karnavati University - [KU],No data found,No data found
231,Noida Institute of Engineering and Technology - [NIET],No data found,No data found
232,ABES Engineering College,ABES Business School,"Ghaziabad, Uttar Pradesh"
233,Asansol Engineering College - [AEC],No data found,No data found
234,Bharati Vidyapeeth's College of Engineering - [BVCOE],No data found,No data found
235,Gudlavalleru Engineering College - [GEC],No data found,No data found
236,Jaypee University of Engineering and Technology - [JUET],No data found,No data found
