Serial No.,College Name,Location,URL
391,Techno Main Salt Lake,Kolkata,https://collegedunia.com/college/58121-techno-main-salt-lake-kolkata
392,P.P. Savani University,Surat,https://collegedunia.com/university/59211-pp-savani-university-surat
393,VIT University - [VIT- AP],Guntur,https://collegedunia.com/university/59270-vit-university-vit-ap-guntur
394,Usha Martin University - [UMU],Ranchi,https://collegedunia.com/university/59359-usha-martin-university-umu-ranchi
395,Sangai International University - [SIU],Churachandpur,https://collegedunia.com/university/60505-sangai-international-university-siu-churachandpur
396,Pranveer Singh Institute of Technology - [PSIT],Kanpur,https://collegedunia.com/college/14584-pranveer-singh-institute-of-technology-psit-kanpur
397,Rama University,Kanpur,https://collegedunia.com/university/56477-rama-university-kanpur
398,Birla Institute of Technology - [BIT],Jaipur,https://collegedunia.com/college/8245-birla-institute-of-technology-bit-jaipur
399,Institute of Advanced Studies in Education - [IASE University],Sardarshahr,https://collegedunia.com/university/25808-institute-of-advanced-studies-in-education-iase-university-sardarshahr
400,Jayoti Vidyapeeth Women's University - [JVWU],Jaipur,https://collegedunia.com/university/54865-jayoti-vidyapeeth-womens-university-jvwu-jaipur
401,Anurag College of Engineering - [ACE],Ghatkesar,https://collegedunia.com/college/9254-anurag-college-of-engineering-ace-ghatkesar
402,Agni College of Technology,Chennai,https://collegedunia.com/college/12741-agni-college-of-technology-chennai
403,Bengal College of Engineering and Technology - [BCET],Durgapur,https://collegedunia.com/college/13015-bengal-college-of-engineering-and-technology-bcet-durgapur
404,Chandigarh Engineering College - [CEC] Landran,Mohali,https://collegedunia.com/college/13197-chandigarh-engineering-college-cec-landran-mohali
405,Delhi Technical Campus - [DTC],Jhajjar,https://collegedunia.com/college/13329-delhi-technical-campus-dtc-jhajjar
406,Dr. B.C. Roy Engineering College - [BCREC],Durgapur,https://collegedunia.com/college/13372-dr-bc-roy-engineering-college-bcrec-durgapur
407,Erode Sengunthar Engineering College,Perundurai,https://collegedunia.com/college/13450-erode-sengunthar-engineering-college-perundurai
408,Geethanjali College of Engineering and Technology - [GCET] Keesara,Hyderabad,https://collegedunia.com/college/13548-geethanjali-college-of-engineering-and-technology-gcet-keesara-hyderabad
409,IILM University,Greater Noida,https://collegedunia.com/university/13752-iilm-university-greater-noida
410,Inderprastha Engineering College - [IPEC],Ghaziabad,https://collegedunia.com/college/13781-inderprastha-engineering-college-ipec-ghaziabad
411,Kanpur Institute of Technology - [KIT],Kanpur,https://collegedunia.com/college/13978-kanpur-institute-of-technology-kit-kanpur
412,Kashi Institute of Technology - [KIT],Varanasi,https://collegedunia.com/college/13989-kashi-institute-of-technology-kit-varanasi
413,Lakshmi Narain College of Technology - [LNCT],Jabalpur,https://collegedunia.com/college/14075-lakshmi-narain-college-of-technology-lnct-jabalpur
414,Meenakshi Sundararajan Engineering College - [MSEC],Chennai,https://collegedunia.com/college/14315-meenakshi-sundararajan-engineering-college-msec-chennai
415,Nandha Engineering College - [NEC],Erode,https://collegedunia.com/college/14420-nandha-engineering-college-nec-erode
416,Pragati Engineering College,East Godavari,https://collegedunia.com/college/14580-pragati-engineering-college-east-godavari
417,Prathyusha Engineering College - [PEC],Thiruvallur,https://collegedunia.com/college/14591-prathyusha-engineering-college-pec-thiruvallur
