Serial No.,College Name,Ranking Agency,Year,Rank
21,BMS College of Engineering - [BMSCE],Overall,2023 Ranking,#24|  out of 281 in  |India 2023|#1st in Bangalore
21,BMS College of Engineering - [BMSCE],Overall,2022 Ranking,-
21,BMS College of Engineering - [BMSCE],B.Tech,2024 Ranking,#26|  out of 284 in  |India 2024|#2nd in Bangalore
21,BMS College of Engineering - [BMSCE],B.Tech,2023 Ranking,#5|  out of 246 in  |India 2023
21,BMS College of Engineering - [BMSCE],B.Tech,2022 Ranking,#5|  out of 238 in  |India 2022
21,BMS College of Engineering - [BMSCE],MBA,2024 Ranking,#188|  out of 275 in  |India 2024|#45th in Karnataka
21,BMS College of Engineering - [BMSCE],MBA,2023 Ranking,#199|  out of 272 in  |India 2023|#17th in Bangalore
21,BMS College of Engineering - [BMSCE],MBA,2022 Ranking,#211|  out of 281 in  |India 2022|#42nd in Karnataka
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],Overall,2024 Ranking,#151-200|  out of 200 in  |India 2024|#20th in Tamil Nadu
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],Overall,2023 Ranking,#151|  out of 200 in  |India 2023|#20th in Tamil Nadu
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],Overall,2022 Ranking,#101-150|  out of 200 in  |India 2022|#19th in Tamil Nadu
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],B.Tech,2024 Ranking,#101-150|  out of 300 in  |India 2024|#15th in Tamil Nadu
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],B.Tech,2023 Ranking,#101-151|  out of 200 in  |India 2023|#16th in Tamil Nadu
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],B.Tech,2022 Ranking,#107|  out of 300 in  |India 2022|#19th in Tamil Nadu
23,Kumaraguru College of Technology - [KCT],B.Tech,2024 Ranking,#151-200|  out of 300 in  |India 2024|#16th in Tamil Nadu
23,Kumaraguru College of Technology - [KCT],B.Tech,2023 Ranking,#101-151|  out of 200 in  |India 2023|#16th in Tamil Nadu
